#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)

# Xorg
,xorg-xinit,"starts the graphical server."
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xbacklight,"enables changing screen brightness levels."
,xorg-xprop,"is a tool for detecting window properties."
,xcompmgr,"is for transparency and removing screen-tearing."
,xwallpaper,"sets the wallpaper."
,xcape,"gives the special escape/super mappings of SAIS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."

# Linux utilities
,gnome-keyring,"serves as the system keyring."
,moreutils,"is a collection of useful unix tools."
,atool,"manages and gives information about archives."
,dosfstools,"allows your computer to access dos-like filesystems."
,exfat-utils,"allows management of FAT drives."
,ntfs-3g,"allows accessing NTFS partitions."
A,task-spooler,"queues commands or files for download."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,socat,"is a utility which establishes two byte streams and transfers data between them."

# Fonts and Themes
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in SAIS."
,ttf-linux-libertine,"provides the sans and serif fonts for SAIS."
,noto-fonts-emoji,"is an emoji font."

# Terminal utilities
,kitty,"is a clean terminal."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,htop-vim-git,"is a graphical and colorful system monitor."
,newsboat,"is a terminal RSS client."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
A,lf-git,"is an extensive terminal file manager that everyone likes."

# DWM utilities
G,https://github.com/LukeSmithxyz/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/lukesmithxyz/dwm.git,"is the window manager."

# Browser utilities
,lynx,"is a terminal browser."

# Media utilities
,highlight,"can highlight code output."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,pipewire,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,maim,"can take quick screenshots at your request."
,sxiv,"is a minimalist image viewer."
,ffmpeg,"can record and splice video and audio on the command line."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,unrar,"extracts rar's."
,unzip,"unzips zips."

# Misc
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
A,abook,"is an offline addressbook usable by neomutt."
,arandr,"allows the user to customize monitor arrangements."
,unclutter,"hides an inactive mouse."
,fzf,"is a fuzzy finder tool."
A,simple-mtpfs,"enables the mounting of cell phones."